gene,importance
MT-ND5,0.0006264608581200567
DEGS1,0.0006257468681205709
GDF15,0.00062415905778849
TNFAIP2,0.0006231036424406379
FSCN1,0.0006210509327247587
FERMT3,0.0006194381511895491
ARL2,0.0006184977970593771
WSB1,0.0006156811124770361
RCN3,0.0006153367932315543
FOS,0.0006136567388647408
MXRA8,0.0006134453323536598
SEPTIN1,0.0006130412847082028
TIMP3,0.0006069320840437149
ZFPM1,0.0005983447786408683
CRAT,0.000591262458437174
HMGB3,0.0005898605054833373
GAS6,0.0005855691975563087
SLAMF8,0.00058308554988455
TNFRSF1B,0.0005816964572122274
RAMP2,0.0005812039928878363
ITGAX,0.0005730179364631596
IL16,0.0005722579011719729
MGLL,0.0005715286664073021
EMILIN1,0.0005710957159074676
ALB,0.0005682820358500431
CFD,0.0005676747388538844
SPP1,0.0005626818334506491
LIG1,0.0005613769198411469
LTBP2,0.0005591225981051717
TTLL12,0.0005579269438684212
THBS2,0.0005548395729688778
SYNE2,0.0005474077133154706
SPTBN1,0.0005452987126349293
RERG,0.0005449360895377418
TFF3,0.0005429303722529358
PMP22,0.0005423991753472983
CCN2,0.0005422586634968597
MESP1,0.0005400124069665354
POSTN,0.0005395118200379546
NFKB2,0.0005391627077971718
TRPM2,0.0005341734164045168
CLEC7A,0.0005337265155623436
SESN3,0.0005335910787877251
MAP7D1,0.0005315957227014183
INPP5D,0.0005264076283526841
MXRA5,0.000525431500520065
IL20,0.0005227216331581854
GBP4,0.0005214182994546112
SLC15A3,0.0005205865872098311
RESF1,0.000518149018700485
VTCN1,0.0005175919662839283
ANKRD12,0.0005171951862159328
LST1,0.0005164752688301533
KRT37,0.0005161707479990074
NASP,0.0005153089226904549
ID3,0.0005152380856423706
SIGLEC1,0.0005138002714256009
INF2,0.0005121249873095004
LPAR6,0.0005070396968068218
VPS51,0.0005054019756594078
LMO4,0.0005039847031715256
NOTCH3,0.0005028726400948531
ACTA2,0.0005028060690243946
METTL7A,0.0005014588404640669
SPARCL1,0.0004991662887749964
COL5A2,0.0004917655101135823
STRA6,0.0004912772040367062
NDRG1,0.000487253733041718
IGFBP7,0.00048652664156211234
MAFB,0.0004820856437048274
PLCB2,0.000481457215948127
COMP,0.0004782515582235251
AC093001.1,0.0004758205427740665
EIF5AL1,0.00047413850682860055
SORBS3,0.00047364998424090853
MCCD1,0.00047196035596626856
CCDC88A,0.0004717570357382971
FN1,0.0004698925070339402
COL4A1,0.0004696444115084564
SERPINH1,0.0004694061518241496
PRSS23,0.00046605095946023525
CGA,0.0004635703783933996
CNN3,0.0004604855540527704
YBX3,0.0004604316159004613
COL14A1,0.00045864877080062843
MRC2,0.00045704914647960715
BACE2,0.0004546620394859692
NRP1,0.00045261243175211526
ZAP70,0.00045009312597878994
EHBP1L1,0.0004490524864391035
EHD1,0.0004470838063968463
EGR1,0.0004459554068647659
MTUS1,0.0004434608184834678
SEPTIN6,0.0004418155724548697
CLEC10A,0.0004410857151812885
TNFRSF14,0.0004400367644831066
F13A1,0.0004383669073481406
PODN,0.00043335101913678786
CKB,0.0004327569247286458
RBMS1,0.0004323089950346413
SULF1,0.00043190352203690847
AKAP13,0.00043075375123847553
THBS1,0.00043051632290475023
AKAP9,0.0004283170045310118
TGFB1,0.0004253474509623037
SCGB1D2,0.00042464145834952263
PDGFRB,0.00042159904167673095
SGK1,0.0004208731046941758
NID1,0.0004179744506268306
ARHGAP21,0.00041783341848972133
LCP2,0.00041608386624524695
EMP1,0.0004159590222166516
MS4A1,0.00041489231778231434
STYX,0.00041276205564480306
SHISA2,0.00040915015054805064
QKI,0.0004080573876202248
VEGFB,0.0004072372887570452
APOD,0.00040606266594848077
KAT6B,0.00040575495077472504
COL4A2,0.0004056606104013845
CTHRC1,0.00040552201300812513
PDE5A,0.00040543903786199523
PPIG,0.0004043631450564681
VWF,0.00040396146700496404
IFIT3,0.00040245069587048173
FBN1,0.0003986451505376068
ARMT1,0.00039849255308153084
RIF1,0.0003976766216127096
PRPF38B,0.0003975166761802403
PLVAP,0.0003972559263161837
GPSM3,0.0003940231037656087
TMEM119,0.00039317567061917055
EHD2,0.0003908377547050185
PODXL,0.00038793482067601536
TGM2,0.00038752234502782695
POU2F2,0.0003863167917954898
CST1,0.0003857296342697547
MT-ATP8,0.00038049274258465074
TACC1,0.0003786255895553725
NT5DC2,0.0003768144271870286
NFIB,0.000376789137165518
CD247,0.0003763474369087642
C2,0.0003732232489068788
PDLIM7,0.00037309206400994394
MZB1,0.0003728401388276833
TPM1,0.0003708103222094543
TPM2,0.0003707801843507304
PNISR,0.00036979943895407987
MFAP4,0.00036919525323115626
SP140L,0.0003664911394358057
TRIOBP,0.00036625651959496636
KLF2,0.00036462649857416053
ANKRD17,0.00036398775265957434
FAM160B2,0.00036308540993107647
CLSTN3,0.0003630321942856183
PRRX1,0.0003622848547981536
IGFBP3,0.00036131467646138176
SLC30A8,0.00036122039991166833
TPSB2,0.0003610599260885226
COL5A1,0.00036009586234226563
MXRA7,0.00035895917985656703
C11orf96,0.00035841582654865244
LINC02224,0.0003551011315390844
HOMER3,0.00035489044747045876
TBX2,0.00035289001858247406
DAB2,0.0003525995512377588
NCOR1,0.00035190603034351283
CYBRD1,0.00035119610640178996
IGHE,0.00034840861597071614
H19,0.0003482513085234403
UNC93B1,0.00034190915484942223
LRCH4,0.0003411580211523478
THOC2,0.00034108101703433127
SYNE1,0.00034100705742782334
ELN,0.000339576269427321
EVA1B,0.0003394905068354194
MAP3K11,0.00033908759041140766
SGSM3,0.0003387127630067462
OLFML3,0.0003385996345065401
PARP12,0.0003385389593184869
KLHDC7B,0.00033777235954773844
BASP1,0.0003364829961690615
IFI27L2,0.00033606551167061183
TCERG1,0.0003354057810031187
TGFBR2,0.00033260103777077617
PDPN,0.0003323028443341756
MYO1G,0.0003320016176464827
GIMAP5,0.0003317636364424314
DST,0.00032989251543335646
KRT7,0.00032909493830482077
BTN3A1,0.0003290730722230882
CYBB,0.0003277955111136955
SCUBE2,0.00032698793127835895
MPHOSPH8,0.0003266057792419934
CDH11,0.000326293706991632
BOD1L1,0.000325010985847648
ARID5A,0.00032418491274461094
NR1H3,0.00032417235634064234
LHFPL2,0.000320432725433161
MICAL1,0.00032032194170419204
COLEC12,0.00031694127034093855
TBRG4,0.00031687021936947427
PHIP,0.0003160065217408587
ADD3,0.0003159211810833564
CFLAR,0.00031547230816272886
MMP14,0.0003146620745709598
HMOX1,0.0003145228471953569
CCL2,0.0003143404889646163
SPRY1,0.0003141332647186788
NKTR,0.0003120428437827503
CNOT9,0.0003107923801397169
ACKR1,0.00030968265677918034
F2R,0.0003084741166337744
FBXL15,0.0003077483690762103
GP2,0.00030673601661219437
COL2A1,0.00030659750970320025
CCDC43,0.00030650455628100117
AQP1,0.0003055571829517487
PARL,0.00030547607281475157
ST6GALNAC6,0.0003050632561769762
EFEMP2,0.0003050273088941702
CXCL10,0.0003049171785400815
IFI44L,0.00030348254365039737
ABCA7,0.0003027038567690347
ASL,0.00030257170954580635
RBPMS,0.0003013101553373937
MPRIP,0.0002971389806316135
RPS6KA4,0.0002969714499089026
CNRIP1,0.00029642475866219794
